from,to,status,clicks,category
/smol-review-are-they-as-good-as-they-sound/,/reviews/smol-review-are-they-as-good-as-they-sound/,301,3709,canonical redirect
/parenthood/reviews/smol-review-are-they-as-good-as-they-sound/,/reviews/smol-review-are-they-as-good-as-they-sound/,301,3078,canonical redirect
/separated-parents/single-parent-benefits-guide/,/separated-parents/universal-credit-for-single-parents-a-complete-uk-guide-2025/,301,2989,canonical redirect
/parenthood/hoppstar-artist-camera-review/,/reviews/hoppstar-artist-camera-review/,301,1038,canonical redirect
/separated-parents/parenting-time-calculator/,/separated-parents/,301,992,legacy-deleted fallback
/introduction-to-single-parent-benefits/,/separated-parents/,301,962,legacy-deleted fallback
/effects-of-parental-separation-on-a-child/,/separated-parents/effects-of-parental-separation-on-a-child/,301,851,canonical redirect
/raising-stong-daughters/,/parenthood/raising-stong-daughters/,301,722,canonical redirect
/honest-mobile-review/,/reviews/honest-mobile-review/,301,484,canonical redirect
/separated-parents/introduction-to-single-parent-benefits/,/separated-parents/,301,444,legacy-deleted fallback
/how-a-parenting-plan-can-help-in-2024/,/separated-parents/,301,378,legacy-deleted fallback
/parenthood/pact-coffee-review/,/reviews/pact-coffee-review/,301,361,canonical redirect
/parenthood/reviews/honest-mobile-review/,/reviews/honest-mobile-review/,301,313,canonical redirect
/uncategorised/grants-for-single-parents-uk/,/separated-parents/grants-for-single-parents-uk/,301,313,canonical redirect
/parenthood/toniebox-review-a-parents-honest-take-on-this-screen-free-audio-player/,/reviews/toniebox-review-a-parents-honest-take-on-this-screen-free-audio-player/,301,291,canonical redirect
/separated-parents/single-parent-benefits-uk/,/separated-parents/,301,235,canonical redirect
/parenthood/uk-paternity-leave-not-enough/,/separated-parents/uk-paternity-leave-not-enough/,301,227,canonical redirect
/parenting-hacks-and-tips/home-activities-for-kids/,/home-activities-for-kids/,301,216,canonical redirect
/parenthood/kidkraft-majestic-mansion-dollhouse/,/reviews/kidkraft-majestic-mansion-dollhouse/,301,192,canonical redirect
/kidkraft-majestic-mansion-dollhouse/,/reviews/kidkraft-majestic-mansion-dollhouse/,301,174,canonical redirect
/things-to-do/things-to-do-with-kids-hampshire/,/reviews/things-to-do-with-kids-hampshire/,301,170,canonical redirect
/things-to-do/cardboard-crafts-fish-tank/,/diary/cardboard-crafts-fish-tank/,301,164,canonical redirect
